iau,filename,type,redshift
2025kg,2025kg_92365.txt,SN Ic-BL,0.176
2025kg,2025kg_92366.txt,SN Ic-BL,0.176
2025kg,2025kg_92367.txt,SN Ic-BL,0.176
2026gzf,2026gzf_92349.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92350.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92351.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92352.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92353.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92354.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92355.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92356.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92357.txt,SN Ic-BL,0.0344
2026gzf,2026gzf_92368.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92369.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92370.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92371.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92372.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92373.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92374.dat,SN Ic-BL,0.0344
2026gzf,2026gzf_92375.dat,SN Ic-BL,0.0344
2026lew,2026lew_92348.ascii,SN II,0.06
2026mjz,2026mjz_92345.ascii,SN IIn,0.096
2026nhm,2026nhm_92362.dat,SN Ia,0.0872
2026nyw,2026nyw_92376.txt,SLSN-I,0.2876
2026obc,2026obc_92382.ascii,SN Icn,0.0195
2026pws,2026pws_92361.dat,SLSN-II,0.119
2026pxh,2026pxh_92343.ascii,SN Ia-91T-like,0.063432
2026qqb,2026qqb_92360.dat,SLSN-I,0.15
2026reb,2026reb_92323.flm,SN IIn,0.055
2026rvq,2026rvq_92321.flm,SN Ia,0.077
2026str,2026str_92325.ascii,SN Ia,0.1
2026sum,2026sum_92378.ascii,SN Ia,0.11
2026tnd,2026tnd_92320.flm,SN II,0.03
2026tqc,2026tqc_92358.ascii,SN Ia-SC,0.031587
2026tut,2026tut_92324.ascii,SN Ia,0.083
2026ugn,2026ugn_92364.spec,SN Ia,0.0855
2026unl,2026unl_92339.txt,SN Ia,0.03
2026unl,2026unl_92340.ascii,SN Ia,0.03
2026uvu,2026uvu_92344.ascii,SN Ia,0.08
2026uyk,2026uyk_92380.ascii,SN II,0.039
2026ved,2026ved_92341.txt,SN IIb,0.01859
2026ved,2026ved_92363.dat,SN IIb,0.01859
2026ves,2026ves_92322.flm,SN II,0.049
2026vsh,2026vsh_92379.ascii,SN Ia,0.08
2026vts,2026vts_92342.ascii,SN Ia,0.098
2026wgb,2026wgb_92377.ascii,SN Ia,0.033775
AT2026weo,AT2026weo_92346.ascii,SN Ia,0.024
AT2026weo,AT2026weo_92347.ascii,SN Ia,0.024
