# wavelength flux(cal) flux
3585.0499 2.850437e+03 2.703543e+04
3586.2768 2.857490e+03 2.694275e+04
3587.5037 2.370529e+03 2.221776e+04
3588.7306 2.511788e+03 2.339906e+04
3589.9575 2.530892e+03 2.343220e+04
3591.1844 2.592344e+03 2.385176e+04
3592.4113 2.655081e+03 2.427496e+04
3593.6382 2.855188e+03 2.593786e+04
3594.8652 2.580213e+03 2.328840e+04
3596.0921 2.696913e+03 2.418257e+04
3597.3190 2.614297e+03 2.328678e+04
3598.5459 2.785584e+03 2.464664e+04
3599.7728 2.507790e+03 2.203881e+04
3600.9997 2.674095e+03 2.333989e+04
3602.2266 2.705293e+03 2.344936e+04
3603.4535 2.647807e+03 2.279125e+04
3604.6804 2.640895e+03 2.257195e+04
3605.9073 2.753425e+03 2.336680e+04
3607.1343 2.787229e+03 2.348436e+04
3608.3612 2.754408e+03 2.304027e+04
3609.5881 2.735463e+03 2.271519e+04
3610.8150 2.871782e+03 2.367213e+04
3612.0419 2.934586e+03 2.401085e+04
3613.2688 2.846060e+03 2.311291e+04
3614.4957 2.736453e+03 2.205588e+04
3615.7226 2.723271e+03 2.178356e+04
3616.9495 2.936975e+03 2.331400e+04
3618.1764 3.064821e+03 2.414223e+04
3619.4033 2.865976e+03 2.240156e+04
3620.6303 2.789341e+03 2.163312e+04
3621.8572 2.889155e+03 2.223203e+04
3623.0841 2.890158e+03 2.206480e+04
3624.3110 2.710346e+03 2.052830e+04
3625.5379 2.966354e+03 2.228854e+04
3626.7648 2.864163e+03 2.134850e+04
3627.9917 2.906115e+03 2.148696e+04
3629.2186 2.402066e+03 1.761658e+04
3630.4455 2.487330e+03 1.809367e+04
3631.6724 2.629560e+03 1.897212e+04
3632.8994 2.583581e+03 1.848748e+04
3634.1263 2.755127e+03 1.955257e+04
3635.3532 2.564574e+03 1.804963e+04
3636.5801 2.880637e+03 2.010561e+04
3637.8070 2.816014e+03 1.949055e+04
3639.0339 2.699801e+03 1.852966e+04
3640.2608 2.907116e+03 1.978474e+04
3641.4877 2.708694e+03 1.827877e+04
3642.7146 2.767685e+03 1.851866e+04
3643.9415 2.789371e+03 1.850513e+04
3645.1684 2.697275e+03 1.774158e+04
3646.3954 2.646082e+03 1.725598e+04
3647.6223 2.673433e+03 1.728476e+04
3648.8492 2.885811e+03 1.849732e+04
3650.0761 2.902643e+03 1.844468e+04
3651.3030 2.902356e+03 1.828330e+04
3652.5299 2.924972e+03 1.826595e+04
3653.7568 2.830774e+03 1.752398e+04
3654.9837 2.926226e+03 1.795700e+04
3656.2106 2.834373e+03 1.724141e+04
3657.4375 2.678577e+03 1.615109e+04
3658.6645 2.829846e+03 1.691353e+04
3659.8914 2.961648e+03 1.754573e+04
3661.1183 2.758384e+03 1.619766e+04
3662.3452 2.573107e+03 1.497644e+04
3663.5721 2.617536e+03 1.510045e+04
3664.7990 2.651150e+03 1.515906e+04
3666.0259 2.909083e+03 1.648653e+04
3667.2528 2.712966e+03 1.523869e+04
3668.4797 2.591846e+03 1.442905e+04
3669.7066 2.450289e+03 1.351968e+04
3670.9335 2.830742e+03 1.547982e+04
3672.1605 2.824344e+03 1.530720e+04
3673.3874 2.695356e+03 1.447784e+04
3674.6143 2.876081e+03 1.531069e+04
3675.8412 2.692356e+03 1.420461e+04
3677.0681 3.007865e+03 1.572736e+04
3678.2950 3.005145e+03 1.557261e+04
3679.5219 2.812157e+03 1.444216e+04
3680.7488 2.780686e+03 1.415271e+04
3681.9757 2.930014e+03 1.477921e+04
3683.2026 2.971022e+03 1.485184e+04
3684.4296 2.792756e+03 1.383566e+04
3685.6565 2.765628e+03 1.357852e+04
3686.8834 2.737802e+03 1.332148e+04
3688.1103 2.616560e+03 1.261750e+04
3689.3372 2.625320e+03 1.254635e+04
3690.5641 2.754992e+03 1.304815e+04
3691.7910 2.613308e+03 1.226630e+04
3693.0179 2.609456e+03 1.213861e+04
3694.2448 2.883656e+03 1.329413e+04
3695.4717 2.819068e+03 1.288016e+04
3696.6987 2.551560e+03 1.155376e+04
3697.9256 2.336961e+03 1.048752e+04
3699.1525 2.641868e+03 1.175004e+04
3700.3794 2.774746e+03 1.223098e+04
3701.6063 2.796189e+03 1.221567e+04
3702.8332 2.661852e+03 1.152527e+04
3704.0601 2.636999e+03 1.131611e+04
3705.2870 2.767560e+03 1.177086e+04
3706.5139 3.007947e+03 1.267971e+04
3707.7408 2.739171e+03 1.144435e+04
3708.9677 2.777686e+03 1.150250e+04
3710.1947 2.821296e+03 1.157977e+04
3711.4216 2.754723e+03 1.120667e+04
3712.6485 2.911315e+03 1.173925e+04
3713.8754 2.569325e+03 1.026900e+04
3715.1023 2.857952e+03 1.132213e+04
3716.3292 2.961438e+03 1.162909e+04
3717.5561 2.754267e+03 1.072076e+04
3718.7830 2.798075e+03 1.079596e+04
3720.0099 3.136177e+03 1.199477e+04
3721.2368 3.002911e+03 1.138492e+04
3722.4638 2.905890e+03 1.092118e+04
3723.6907 2.954848e+03 1.100870e+04
3724.9176 3.076628e+03 1.136302e+04
3726.1445 2.670476e+03 9.777613e+03
3727.3714 2.442433e+03 8.865434e+03
3728.5983 2.662032e+03 9.579262e+03
3729.8252 2.860938e+03 1.020649e+04
3731.0521 2.981954e+03 1.054695e+04
3732.2790 2.993912e+03 1.049860e+04
3733.5059 2.900687e+03 1.008482e+04
3734.7328 2.861382e+03 9.863418e+03
3735.9598 2.981322e+03 1.018952e+04
3737.1867 3.032227e+03 1.027564e+04
3738.4136 3.270165e+03 1.098825e+04
3739.6405 3.155146e+03 1.051235e+04
3740.8674 2.879980e+03 9.514824e+03
3742.0943 3.016737e+03 9.883023e+03
3743.3212 2.711673e+03 8.809285e+03
3744.5481 2.946658e+03 9.492805e+03
3745.7750 3.010391e+03 9.617438e+03
3747.0019 2.859570e+03 9.059816e+03
3748.2289 3.225530e+03 1.013474e+04
3749.4558 3.018926e+03 9.407355e+03
3750.6827 2.981303e+03 9.213738e+03
3751.9096 3.630063e+03 1.112678e+04
3753.1365 3.142951e+03 9.554984e+03
3754.3634 3.129770e+03 9.437414e+03
3755.5903 3.377433e+03 1.010153e+04
3756.8172 3.085243e+03 9.152953e+03
3758.0441 3.522820e+03 1.036682e+04
3759.2710 3.121624e+03 9.112355e+03
3760.4979 3.086234e+03 8.936883e+03
3761.7249 2.973577e+03 8.541922e+03
3762.9518 3.097841e+03 8.828094e+03
3764.1787 3.340445e+03 9.444000e+03
3765.4056 3.314571e+03 9.296840e+03
3766.6325 3.450071e+03 9.600746e+03
3767.8594 3.553801e+03 9.811867e+03
3769.0863 3.556930e+03 9.743797e+03
3770.3132 3.539881e+03 9.621637e+03
3771.5401 3.360646e+03 9.063656e+03
3772.7670 3.324625e+03 8.897273e+03
3773.9940 3.264079e+03 8.668055e+03
3775.2209 3.160502e+03 8.328699e+03
3776.4478 3.526148e+03 9.221363e+03
3777.6747 4.055297e+03 1.052457e+04
3778.9016 3.879885e+03 9.993121e+03
